126,0,-0.122,1.393
125,6,-0.372,1.39
123,13,-0.605,1.389
120,20,-0.828,1.376
116,27,-1.029,1.366
111,34,-1.206,1.346
105,41,-1.36,1.32
98,47,-1.492,1.287
90,54,-1.597,1.235
82,60,-1.685,1.175
74,66,-1.752,1.099
65,71,-1.809,1.005
56,76,-1.846,0.891
47,81,-1.873,0.765
38,85,-1.892,0.613
28,88,-1.906,0.45
19,90,-1.916,0.274
9,91,-1.918,0.092
0,92,-0.547,-0.092
-2,91,-0.547,-0.274
-5,90,-0.535,-0.45
-8,88,-0.523,-0.613
-10,85,-0.511,-0.765
-13,81,-0.487,-0.891
-15,76,-0.469,-1.005
-18,71,-0.438,-1.099
-20,66,-0.408,-1.175
-22,60,-0.377,-1.235
-24,54,-0.339,-1.287
-25,47,-0.302,-1.32
-27,41,-0.257,-1.346
-28,34,-0.219,-1.366
-29,27,-0.168,-1.376
-30,20,-0.123,-1.389
-31,13,-0.071,-1.39
-31,6,-0.026,-1.393
-31,0,0.026,-0.927
-31,-4,0.071,-0.926
-31,-9,0.123,-0.913
-30,-13,0.168,-0.902
-29,-18,0.219,-0.882
-28,-22,0.257,-0.855
-27,-27,0.302,-0.826
-25,-31,0.339,-0.785
-24,-35,0.377,-0.743
-22,-38,0.408,-0.692
-20,-42,0.438,-0.632
-18,-45,0.469,-0.568
-15,-48,0.487,-0.495
-13,-50,0.511,-0.414
-10,-52,0.523,-0.33
-8,-54,0.535,-0.236
-5,-55,0.547,-0.148
-2,-56,0.547,-0.047
0,-56,1.918,0.047
9,-56,1.916,0.148
19,-55,1.906,0.236
28,-54,1.892,0.33
38,-52,1.873,0.414
47,-50,1.846,0.495
56,-48,1.809,0.568
65,-45,1.752,0.632
74,-42,1.685,0.692
82,-38,1.597,0.743
90,-35,1.492,0.785
98,-31,1.36,0.826
105,-27,1.206,0.855
111,-22,1.029,0.882
116,-18,0.828,0.902
120,-13,0.605,0.913
123,-9,0.372,0.926
125,-4,0.122,0.927
