alpha, beta, motor_x_x, motor_x_y, motor_x_z, motor_y_x, motor_y_y, motor_y_z, motor_x_speed_x, motor_y_speed_y
0.0, 0.0, 0.0, -0.0, 380.0, -165.0, -0.0, 168.0, 0.0, 1.393
3.92, 0.0, 0.0, 15.738, 379.674, -165.0, 6.964, 168.0, 0.0, 1.39
7.81, 0.0, 0.0, 31.369, 378.703, -165.0, 13.916, 168.0, 0.0, 1.389
11.65, 0.0, 0.0, 46.824, 377.104, -165.0, 20.86, 168.0, 0.0, 1.376
15.39, 0.0, 0.0, 61.912, 374.923, -165.0, 27.742, 168.0, 0.0, 1.366
19.02, 0.0, 0.0, 76.596, 372.2, -165.0, 34.573, 168.0, 0.0, 1.346
22.5, 0.0, 0.0, 90.718, 369.013, -165.0, 41.301, 168.0, 0.0, 1.32
25.81, 0.0, 0.0, 104.193, 365.437, -165.0, 47.9, 168.0, 0.0, 1.287
28.93, 0.0, 0.0, 116.933, 361.562, -165.0, 54.333, 168.0, 0.0, 1.235
31.82, 0.0, 0.0, 128.767, 357.518, -165.0, 60.508, 168.0, 0.0, 1.175
34.47, 0.0, 0.0, 139.644, 353.411, -165.0, 66.382, 168.0, 0.0, 1.099
36.86, 0.0, 0.0, 149.472, 349.368, -165.0, 71.876, 168.0, 0.0, 1.005
38.97, 0.0, 0.0, 158.161, 345.522, -165.0, 76.901, 168.0, 0.0, 0.891
40.78, 0.0, 0.0, 165.62, 342.009, -165.0, 81.355, 168.0, 0.0, 0.765
42.29, 0.0, 0.0, 171.846, 338.923, -165.0, 85.182, 168.0, 0.0, 0.613
43.47, 0.0, 0.0, 176.712, 336.411, -165.0, 88.248, 168.0, 0.0, 0.45
44.32, 0.0, 0.0, 180.218, 334.547, -165.0, 90.5, 168.0, 0.0, 0.274
44.83, 0.0, 0.0, 182.32, 333.406, -165.0, 91.87, 168.0, 0.0, 0.092
45.0, 0.0, 0.0, 183.021, 333.021, -165.0, 92.329, 168.0, 0.0, -0.092
44.83, 0.0, 0.0, 182.32, 333.406, -165.0, 91.87, 168.0, 0.0, -0.274
44.32, 0.0, 0.0, 180.218, 334.547, -165.0, 90.5, 168.0, 0.0, -0.45
43.47, 0.0, 0.0, 176.712, 336.411, -165.0, 88.248, 168.0, 0.0, -0.613
42.29, 0.0, 0.0, 171.846, 338.923, -165.0, 85.182, 168.0, 0.0, -0.765
40.78, 0.0, 0.0, 165.62, 342.009, -165.0, 81.355, 168.0, 0.0, -0.891
38.97, 0.0, 0.0, 158.161, 345.522, -165.0, 76.901, 168.0, 0.0, -1.005
36.86, 0.0, 0.0, 149.472, 349.368, -165.0, 71.876, 168.0, 0.0, -1.099
34.47, 0.0, 0.0, 139.644, 353.411, -165.0, 66.382, 168.0, 0.0, -1.175
31.82, 0.0, 0.0, 128.767, 357.518, -165.0, 60.508, 168.0, 0.0, -1.235
28.93, 0.0, 0.0, 116.933, 361.562, -165.0, 54.333, 168.0, 0.0, -1.287
25.81, 0.0, 0.0, 104.193, 365.437, -165.0, 47.9, 168.0, 0.0, -1.32
22.5, 0.0, 0.0, 90.718, 369.013, -165.0, 41.301, 168.0, 0.0, -1.346
19.02, 0.0, 0.0, 76.596, 372.2, -165.0, 34.573, 168.0, 0.0, -1.366
15.39, 0.0, 0.0, 61.912, 374.923, -165.0, 27.742, 168.0, 0.0, -1.376
11.65, 0.0, 0.0, 46.824, 377.104, -165.0, 20.86, 168.0, 0.0, -1.389
7.81, 0.0, 0.0, 31.369, 378.703, -165.0, 13.916, 168.0, 0.0, -1.39
3.92, 0.0, 0.0, 15.738, 379.674, -165.0, 6.964, 168.0, 0.0, -1.393
0.0, 0.0, 0.0, -0.0, 380.0, -165.0, -0.0, 168.0, 0.0, -0.927
-2.61, 0.0, 0.0, -10.478, 379.856, -165.0, -4.634, 168.0, 0.0, -0.926
-5.21, 0.0, 0.0, -20.92, 379.424, -165.0, -9.263, 168.0, 0.0, -0.913
-7.76, 0.0, 0.0, -31.168, 378.72, -165.0, -13.826, 168.0, 0.0, -0.902
-10.26, 0.0, 0.0, -41.226, 377.757, -165.0, -18.335, 168.0, 0.0, -0.882
-12.68, 0.0, 0.0, -50.976, 376.565, -165.0, -22.742, 168.0, 0.0, -0.855
-15.0, 0.0, 0.0, -60.337, 375.179, -165.0, -27.018, 168.0, 0.0, -0.826
-17.21, 0.0, 0.0, -69.269, 373.633, -165.0, -31.146, 168.0, 0.0, -0.785
-19.28, 0.0, 0.0, -77.65, 371.982, -165.0, -35.069, 168.0, 0.0, -0.743
-21.21, 0.0, 0.0, -85.478, 370.261, -165.0, -38.784, 168.0, 0.0, -0.692
-22.98, 0.0, 0.0, -92.669, 368.527, -165.0, -42.245, 168.0, 0.0, -0.632
-24.57, 0.0, 0.0, -99.14, 366.84, -165.0, -45.403, 168.0, 0.0, -0.568
-25.98, 0.0, 0.0, -104.886, 365.238, -165.0, -48.245, 168.0, 0.0, -0.495
-27.19, 0.0, 0.0, -109.823, 363.784, -165.0, -50.718, 168.0, 0.0, -0.414
-28.19, 0.0, 0.0, -113.908, 362.526, -165.0, -52.787, 168.0, 0.0, -0.33
-28.98, 0.0, 0.0, -117.137, 361.495, -165.0, -54.438, 168.0, 0.0, -0.236
-29.54, 0.0, 0.0, -119.428, 360.745, -165.0, -55.618, 168.0, 0.0, -0.148
-29.89, 0.0, 0.0, -120.86, 360.268, -165.0, -56.36, 168.0, 0.0, -0.047
-30.0, 0.0, 0.0, -121.311, 360.116, -165.0, -56.593, 168.0, 0.0, 0.047
-29.89, 0.0, 0.0, -120.86, 360.268, -165.0, -56.36, 168.0, 0.0, 0.148
-29.54, 0.0, 0.0, -119.428, 360.745, -165.0, -55.618, 168.0, 0.0, 0.236
-28.98, 0.0, 0.0, -117.137, 361.495, -165.0, -54.438, 168.0, 0.0, 0.33
-28.19, 0.0, 0.0, -113.908, 362.526, -165.0, -52.787, 168.0, 0.0, 0.414
-27.19, 0.0, 0.0, -109.823, 363.784, -165.0, -50.718, 168.0, 0.0, 0.495
-25.98, 0.0, 0.0, -104.886, 365.238, -165.0, -48.245, 168.0, 0.0, 0.568
-24.57, 0.0, 0.0, -99.14, 366.84, -165.0, -45.403, 168.0, 0.0, 0.632
-22.98, 0.0, 0.0, -92.669, 368.527, -165.0, -42.245, 168.0, 0.0, 0.692
-21.21, 0.0, 0.0, -85.478, 370.261, -165.0, -38.784, 168.0, 0.0, 0.743
-19.28, 0.0, 0.0, -77.65, 371.982, -165.0, -35.069, 168.0, 0.0, 0.785
-17.21, 0.0, 0.0, -69.269, 373.633, -165.0, -31.146, 168.0, 0.0, 0.826
